Asesor,Nombre de tesista,Año de publicación,Resumen,Insitución,Titulo de la tesis,Grado
"Cueva Moscoso, Rony","Salinas Suazo, Elizabeth Karina",2021-09-02,"El presente trabajo de investigación muestra el desarrollo una revisión sistemática de la literatura acerca del rediseño de productos de software siguiendo el marco de trabajo de Diseño Centrado en el Usuario (DCU) y que han tenido éxito en mediciones de usabilidad. Específicamente, se tuvo como objetivo identificar las técnicas, métodos y herramientas que han sido utilizadas durante el proceso de rediseño de las interfaces gráficas de usuario de productos de software. Además, se buscó conocer los métodos de evaluación de usabilidad más reportados en estos casos y los motivos por los cuales se realizó el proceso de rediseño empleando la metodología de DCU. Finalmente, se presentan las conclusiones del trabajo elaborado.
Para el desarrollo de esta revisión sistemática se siguió la metodología elaborada por Kitchenham y Charters (Kitchenham & Charters, 2007) con la finalidad de realizar una búsqueda objetiva. Para la búsqueda primaria se tomaron en cuenta tres bases de datos: Scopus, IEEE Xplore y ACM Digital Library. Y como resultado de la búsqueda se obtuvo 18 artículos relevantes para la presente revisión. Asimismo, se realizaron consultas en el repositorio de tesis PUCP.",Pontificia Universidad Católica del Perú,Rediseño de productos de software siguiendo el marco de trabajo de Diseño Centrado en el Usuario: Una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Cueva Moscoso, Rony","Esparza Cabanillas, Patricia del Pilar",2021-08-25,"Los sistemas de software de punto de venta se han convertido particularmente importantes en la industria comercial de software minorista y su impacto se ha reflejado en las ventas y en la rentabilidad de las empresas que adquieren estos. Sin embargo, todas estas ventajas competitivas están relacionadas en gran medida con la usabilidad de sus interfaces gráficas de usuario que aumentan la satisfacción de los usuarios finales y clientes. Es por ello que algunas empresas de desarrollo de software han aplicado técnicas de diseño centrado en el usuario para mejorar la usabilidad de estas interfaces y darles mayor valor a estos productos. En el presente trabajo presentamos una revisión sistemática de las técnicas de Diseño Centrado en el Usuario, también conocido por sus siglas DCU, que se han aplicado para diseñar o rediseñar interfaces de usuario de Software de Punto de Venta, estas se han clasificado según cada fase de este marco de trabajo. Se identificaron alrededor de 132 estudios, de los cuales solo se seleccionaron 20 para la revisión de la literatura. Asimismo, a partir de los estudios seleccionados, se identificaron los desafíos que enfrentaron los profesionales al llevar a cabo un diseño o rediseño de las interfaces gráficas, así como qué herramientas de software fueron utilizadas durante un diseño o rediseño de un software de punto de venta.",Pontificia Universidad Católica del Perú,Revisión sistemática de las técnicas de Diseño Centrado en el Usuario aplicadas al diseño de interfaces de software de punto de venta,Bachiller en Ciencias con mención en Ingeniería Informática
"Villanueva Talavera, Edwin Rafael","Paredes Salazar, Diego José",2021-08-23,"El presente trabajo explora los estudios en los cuales se utilizan técnicas de aprendizaje profundo
para realizar predicción temporal de calidad del aire, de manera que se pueda comprender que
características tendrían los modelos de aprendizaje profundo que tienen un mejor rendimiento con
para realizar esta tarea y puedan utilizarse como línea base para desarrollar modelos similares en el
contexto de la ciudad de lima. Esta revisión de literatura se realiza con el objetivo de poder obtener
los modelos de aprendizaje profundo que estén teniendo un mejor rendimiento en la actualidad al
predecir temporalmente la calidad del aire mediante un procedimiento que garantice objetividad y
reproducción de resultados. Para ello, se realiza una revisión sistemática de literatura que garantiza
el uso de procedimientos estructurados y definidos para conocer las preguntas de investigación que
guían la exploración de los estudios de predicción temporal de calidad del aire, los motores de
búsqueda considerados para la revisión y las cadenas de búsqueda asociadas tanto a las preguntas
de investigación como los motores de búsqueda, de manera que estas se puedan ejecutar y reproducir
la obtención de estudios. Las respuestas se reportan en un formulario de extracción con datos
relacionados a las arquitecturas de aprendizaje profundo, limitaciones de los modelos empleados y el
rendimiento obtenido por cada modelo en cada estudio. Al finalizar el estudio, se concluye que se
puede desarrollar un modelo basado en una arquitectura adecuada de aprendizaje profundo para
poder atacar el problema de la predicción inadecuada de calidad del aire en Lima al percatar su
efectividad reportada en la literatura para otras localidades en el mundo, considerando que dichos
modelos deben tomarse únicamente como una línea base y que deben ajustarse a la localidad de
Lima para obtener predicciones adecuadas a su entorno.",Pontificia Universidad Católica del Perú,Predicción temporal de calidad del aire en Lima a partir de datos de estaciones de bajo costo y Aprendizaje Automático: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Quispe Vilchez, Eder Ramiro","Pérez Cabrera, Estephany Elizabeth",2021-05-31,"El presente trabajo de investigación presenta una revisión de literatura sobre el desarrollo de un
modelo de prestación de servicios de TI tipo SaaS en infraestructura cloud para la gestión de admisión
y matrícula en instituciones de educación primaria y secundaria. Este trabajo está dividido en cuatro
secciones, la introducción, el método, las conclusiones y las referencias.
En la introducción se presenta el contexto del problema que se busca resolver, describiendo el actual
modelo de prestación de servicios de TI que ofrece un deficiente sistema de gestión educativa a las
entidades educativas del nivel primaria y secundaria. En este sentido, el problema principal formulado
es que el modelo actual de prestación de servicios de TI presenta deficiencias en la operatividad y
soporte del sistema de información para la gestión de los procesos de admisión y matrícula en las
entidades educativas del nivel primaria y secundaria.
En la sección del método se desarrolló la revisión sistemática. Primero, se presentan las preguntas
de revisión planteadas en base a los criterios del método PICOC. Luego, se describe el proceso de
búsqueda que se siguió y se presentan los motores de búsqueda utilizados. Después, se presenta la
cadena de búsqueda formulada y su adaptación a cada motor de búsqueda. Asimismo, se presentan
los criterios de inclusión y exclusión que permitieron filtrar los artículos encontrados y los campos que
permitieron extraer información de los artículos. Una vez que se aplicaron los criterios establecidos,
se obtuvo la lista de artículos primarios seleccionados, de los cuales se pudo extraer y analizar la
información necesaria para responder las preguntas de revisión planteadas.
Finalmente, en la sección de las conclusiones, se presenta una breve conclusión de los hallazgos con
respecto a cada pregunta de revisión formulada. Asimismo, en la sección referencias, se presentan
las referencias bibliográficas utilizadas en la descripción de la problemática y el desarrollo de la
revisión sistemática.",Pontificia Universidad Católica del Perú,Desarrollo de un modelo de prestación de servicios de TI tipo SaaS en infraestructura cloud para la gestión de admisión y matrícula en instituciones de educación primaria y secundaria: Una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Pow Sang Portillo, José Antonio","Bezerra Brandao Corrales, Manuel Alberto",2021-03-23,"Bioinformática es la aplicación de tecnologías computacionales y la estadística a la gestión y análisis
de datos biológicos como lo son las secuencias de ADN y de proteínas (Can, 2014). En esta área se
ha evidenciado una creciente necesidad de usabilidad en las herramientas utilizadas para la
investigación, con el fin de conseguir un manejo adecuado de la gran cantidad de información que se
utiliza (Bolchini et al., 2009). Además, actualmente es evidente la escasez de investigaciones sobre
usabilidad en servicios web bioinformáticos (Bolchini et al., 2009).
Estos servicios presentan características particulares que los diferencian de otros tipos de software.
Además, sus usuarios presentan necesidades distintas. Por ejemplo, las barreras de usabilidad
pueden inhibir la satisfacción de la experiencia de usuario y forzar a los investigadores a desperdiciar
tiempo y energía en realizar tareas cotidianas en sus trabajos (Bolchini et al., 2009). Es por ello que,
en este trabajo de investigación, se busca realizar una revisión de literatura que permita conocer los
trabajos relacionados a la usabilidad en servicios web bioinformáticos.",Pontificia Universidad Católica del Perú,Usabilidad en servicios web bioinformáticos: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Beltrán Castañón, César Armando","Lau Li, Julio Ka Jau",2021-03-15,"El análisis de sentimiento a nivel de entidades sobre notas periodísticas es una tarea de una
complejidad no trivial, lo que genera interés por parte de diferentes sectores, ya que esos tipos
de fuentes de datos causa que los sentimientos identificados no convergen hacia un objetivo
por su longitud extensa y variedad de temas. Sin embargo, no se sabe a ciencia cierta su
dificultad, por lo que el objetivo principal es poder identificar los conocimientos e información
disponible y existente en la actualidad para responder las preguntas formuladas. Por eso, se
define una revisión de literatura tomando en consideración la base de datos Scopus y el empleo
de palabras claves definidas por el método PICOC, donde se obtuvieron en total siete
documentos, cuatro artículos y tres revisiones sistemáticas que evidencian una disponibilidad
de espacio para experimentar y explorar, dado que principalmente se ha trabajado en medios
con mayor cantidad de datos y menor complejidad como las redes sociales o encuestas de
servicios. Esto se reafirmó al revisar los documentos de tesis asociados a este tema, donde
inclusive su demanda ha superado a paradigmas de análisis de sentimientos más clásicos. Es
por ello, que se concluye la necesidad de explotar esta área de conocimientos para poder
satisfacer la demanda de información cada vez más granulada, relevante y compleja,
aprovechando los recursos lingüísticos más óptimos para facilitar las labores que puedan
presentarse.",Pontificia Universidad Católica del Perú,Identificación del sentimiento de entidades en notas periodísticas basado en técnicas de procesamiento de lenguaje natural: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Moquillaza Vizarreta, Miguel Arturo","Palomino Diaz, Fryda Paola",2021-03-08,"En el presente trabajo de investigación se realizó una revisión sistemática de la literatura con el objetivo de identificar los métodos actuales que aplican Analítica Web en la evaluación de la Experiencia de Usuario. De manera que, se pueda recopilar las métricas, herramientas y metodologías empleadas en los diferentes casos de estudios revisados. Asimismo, reconocer la utilidad de la Analítica Web en el proceso actual de la evaluación de la Experiencia de Usuario. Para esto, se empleó la metodología característica en el área de Ingeniería de Software propuesta por B. Kitchenham, donde se plantearon 4 preguntas de investigación relacionadas al objetivo de esta investigación. Una vez identificadas estas preguntas, se construyeron las cadenas a emplear en cuatro diferentes motores de búsqueda principales. Al finalizar esta búsqueda primaria, se obtuvieron en total 315 resultados, de los cuales se seleccionaron 18 artículos como relevantes. Luego, en base a esta revisión primaria, se determinó que era necesario incluir algunas investigaciones adicionales. Por lo que se decidió realizar una investigación secundaria, la cual consistió en seleccionar aquellos artículos de la referencia bibliográfica que cumplían con los criterios de inclusión de la investigación y cuyo caso de estudio reportado era semejante al inicial. Asimismo, se revisó el repositorio digital de tesis PUCP, con el fin de encontrar este tipo de investigaciones en el contexto peruano. De esta manera, se pudo determinar que la Analítica Web es un método que complementa a los procesos actuales de la evaluación de la Experiencia de Usuario. De manera que, este da un respaldo cuantitativo fundamentado a otros tipos de métodos cualitativos que se enfocan en explicar en el porqué del comportamiento del usuario.",Pontificia Universidad Católica del Perú,Investigación de los métodos de evaluación de la experiencia de usuario que aplican analítica web: una revisión sistemática,Bachiller en Ciencias con mención en Ingeniería Informática
"Quispe Vilchez, Eder Ramiro","Velarde Castañeda, Jessenia Alexandra",2021-03-05,"El presente trabajo describe la revisión sistemática realizada sobre el uso correcto de las metodologías
ágiles y herramientas para proyectos de desarrollo de software dependiendo de las complejidades que
se presente.
Se inicia con una breve descripción del problema que se busca resolver para la cual se realiza la revisión
sistemática. Este problema principalmente es la ausencia de un marco de trabajo que facilite a la
organización y guíe con este el uso correcto de las metodologías ágiles y herramientas tecnológicas
aplicadas a proyectos de desarrollo de software. Con esto se pretende ayudar a usuarios antes de la
construcción del software; es decir que le facilite identificar la complejidad del proyecto que desea
implementar y con eso pueda escoger una metodología, herramientas o técnicas para usarlas en la
ejecución de su proyecto.
Luego de especifica el método de revisión de literatura a emplear la cual será principalmente una
revisión sistemática en múltiples bases de datos de artículos como Scopus o IEEE usando el método
PICOC como se describe en dicha sección. Luego estos artículos encontrados se filtran utilizando
criterios de inclusión y exclusión como el año de publicación o el contenido del artículo.
Finalmente, una vez seleccionados los artículos relevantes se procede a responder a las preguntas de
investigación planteadas durante la aplicación del método PICOC. En este caso se consideraron 4
preguntas que fueron respondidas utilizando todos los artículos relevantes.",Pontificia Universidad Católica del Perú,Estudio investigación acción - Definición de marco de trabajo empleando metodologías ágiles para la configuración de herramientas tecnológicas y su aplicación en proyectos de desarrollo de software para una empresa aseguradora,Bachiller en Ciencias con mención en Ingeniería Informática
"Sipiran Mendoza, Iván Anselmo","Sumoso Vicuña, Ernie Ludwick",2021-02-18,"Actualmente en el mundo, las tecnologías de escaneo 3D se clasifican en dos grupos: de
contacto y sin contacto. El primer grupo se caracteriza por la necesidad de reposar el escáner
sobre el objeto (Sreenivasa K. 2003). Este tipo de escáneres representan un riesgo cuando
los objetos en cuestión no pueden ser manipulados libremente debido a su fragilidad. Por
otro lado, el segundo grupo de tecnologías son mayormente usadas en investigaciones y
poseen una amplia variedad de aplicaciones en la industria medicinal y de entretenimiento.
Este último grupo a su vez se divide en dos sub-grupos: activos y pasivos (Pears N. 2012).
Las tecnologías de escaneo 3D activos se basan en el análisis y medición del tiempo de
envío y retorno de una señal hacia el objeto para estimar la posición de la superficie. Por otro
lado, las técnicas de escaneo sin contacto-pasivas no necesitan de la manipulación del
objeto ni medición de señales ya que aprovechan la luz ambiental.
Dentro de las ciencias de la computación existe el problema de cómo sintetizar, procesar y
analizar la información de una superficie obtenida mediante herramientas de escaneo 3D y
guardarla en el computador con el fin de que este pueda ser visualizada y/o manipulada por
otras herramientas informáticas. A lo largo de los años han surgido múltiples técnicas de
representación de objetos en un espacio de tres dimensiones. Sin embargo, estas técnicas
dependen fuertemente de las herramientas empleadas durante el proceso de escaneo. Es
por ello que se han desarrollado también técnicas pasivas-sin contacto que permitan la
obtención de superficies únicamente a partir de una colección de imágenes y haciendo uso
de redes neuronales entrenadas en extensos conjuntos de datos. Para poder entender estas
tecnologías emergentes es necesario investigar a profundidad cuales son los recientes
métodos para generar superficies u objetos 3D, en qué casos se utilizan los distintos métodos
y cuáles son los enfoques de los autores al emplear dichas técnicas.",Pontificia Universidad Católica del Perú,Técnicas de representación y reconstrucción de objetos 3D en el computador: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Beltrán Castañón, César Armando","Matos Ríos, Hans",2021-02-16,"El nivel de complejidad textual puede ser un inconveniente para algunas personas al momento de usar
Chatbots, debido a que estos programas podrían dar respuestas cuyo nivel de complejidad no sea el
que entienda el usuario. Entonces, aquellos Chatbots deberían ser entrenados con un conjunto de
datos cuya complejidad textual sea la deseada, para evitar confusiones con los usuarios. Para ello, se
define una revisión sistemática, en la cual se usan las bases de datos de Google Scholar, ACM Digital
Library e IEEE Xplore, de las cuáles se obtiene la información necesaria empleando las palabras
claves definidas por el método PICOC, obteniendo un total de treinta y ocho documentos que
evidencian la existencia de distintas métricas para analizar la complejidad textual de textos, así como
experimentos de entrenamiento con Chatbots y los correspondientes resultados de sus interacciones
con los usuarios. Además, analizando documentos de tesis asociadas al tema de investigación, se
refuerzan los conceptos de que la complejidad textual puede ser analizado mediante conjunto de
métricas. Finalmente, en base a lo desarrollado en la revisión de la literatura y documentos de tesis,
se presentan las conclusiones deducidas.",Pontificia Universidad Católica del Perú,Identificación del nivel de complejidad de texto para el entrenamiento de chatbots basado en Machine Learning: una revisión de literatura|,Bachiller en Ciencias con mención en Ingeniería Informática
